slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789122600,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789122540.0,1789122600.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789122900,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789122840.0,1789122900.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789122900,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789122840.0,1789122900.0,91.0,False,True,True,1789122864.0,24.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789123200,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789123140.0,1789123200.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789123200,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789123140.0,1789123200.0,91.0,False,True,True,1789123167.0,27.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789123500,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789123440.0,1789123500.0,100.0,False,True,True,1789123471.0,31.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789123500,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789123440.0,1789123500.0,91.0,False,True,True,1789123497.0,57.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789123800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789123740.0,1789123800.0,100.0,False,True,True,1789123792.0,52.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789123800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789123740.0,1789123800.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789124100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789124040.0,1789124100.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789124100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789124040.0,1789124100.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789124400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789124340.0,1789124400.0,100.0,False,True,True,1789124386.0,46.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789124400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789124340.0,1789124400.0,91.0,False,True,True,1789124364.0,24.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
